quantity_raw_numeric,arrival_quantity_qtl,unit_clean,arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,crop_name_raw,data_quality_flag
448.41,448.41,QTL,ARR0012424,2026-06-04,MANDI026,Wheat,Hybrid,44.841,T,128.0,गेहूं,OK
332.54,332.54,QTL,ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,Qtl,33.0,Gehun,OK
415.88,415.88,QTL,ARR0022724,2026-08-16,MANDI056,Wheat,HD-2967,415.88 qtl,,,Kanak,OK
-1.0713,-1.0713,QTL,ARR0012573,2026-06-24,MANDI019,Maize,,-107.13,KG,112.0,Maize,OK
-331.59,-331.59,QTL,ARR0012098,2026-08-09,MANDI050,Maize,Premium,-331.59,Qtl,,Corn,OK
119.93,119.93,QTL,ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,Q,105.0,Ganne,OK
187.68,187.68,QTL,ARR0010753,2026-07-10,MANDI054,Cotton,HD-2967,187.68,qtl,45.0,Kapas,OK
393.67,393.67,QTL,ARR0022123,2026-07-15,MANDI045,Mustard,Hybrid,393.67 qtl,,24.0,Sarso,OK
14.84,14.84,QTL,ARR0003275,2026-04-08,MANDI029,Mustard,PBW-343,14.84,Quintals,129.0,Sarson,OK
93.28,93.28,QTL,ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0,Mustard,OK
38.37,38.37,QTL,ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,3.8369999999999997,tonnes,80.0,Maize,OK
170.77,170.77,QTL,ARR0019527,2026-08-02,MANDI042,Maize,HD-2967,17077.0,kg,26.0,corn,OK
37.3,37.3,QTL,ARR0009636,2026-03-31,MANDI056,Maize,HD-2967,37.3,quintal,,corn,OK
44.83,44.83,QTL,ARR0010366,2026-01-16,MANDI011,Sugarcane,Pusa-1121,44.83,Q,65.0,Ganne,OK
454.74,454.74,QTL,ARR0005837,2026-06-27,MANDI025,Wheat,,45.474000000000004,tonnes,,GEHUN,OK
15.18,15.18,QTL,ARR0002387,2026-01-18,MANDI050,Sugarcane,HD-2967,1518.0,KGS,,Ganne,OK
34.63,34.63,QTL,ARR0024112,2026-08-09,MANDI006,Mustard,,34.63,quintal,102.0,सरसों,OK
415.77,415.77,QTL,ARR0010546,2026-01-09,MANDI039,Wheat,,41.577,MT,139.0,Kanak,OK
396.46,396.46,QTL,ARR0002154,2026-03-20,MANDI001,Basmati,HD-2967,39646.0,kg,61.0,Basmati,OK
99.87,99.87,QTL,ARR0020380,2026-06-03,MANDI028,Mustard,Pusa-1121,99.87,Quintals,,mustard,OK
391.19,391.19,QTL,ARR0021641,2026-08-15,MANDI045,Mustard,HD-2967,39119.0,KGS,41.0,Sarso,OK
111.01,111.01,QTL,ARR0004098,2026-03-25,MANDI027,Cotton,Pusa-1121,111.01,Qtl,137.0,cotton,OK
