record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,crop_name_raw,price_vs_msp_pct,below_msp,mandi_name,district_master,state
PR001650,2026-07-26,MANDI005,,Cotton,6850.985817820893,7570.17,7210.58,6620.0,Kapas,8.921148036253776,False,Bhilwara Grain Market,Amritsar,Punjab
PR000246,2026-07-17,MANDI028,Fatehabad,Cotton,6944.79,7654.18,7299.0,,कपास,,False,Machilipatnam APMC,Hisar,Haryana
PR010091,2026-01-09,MANDI011,Jalandhar,Rice,1857.0,2013.18,1935.06,2183.0,Dhaan,-11.357764544205224,True,Arrah Mandi,Patiala,Punjab
PR000982,2026-05-24,MANDI012,Ferozepur,Maize,1873.34,1986.0,1930.0,2090.0,corn,-7.655502392344498,True,Gaya Grain Market,Patiala,Punjab
PR001708,2026-08-18,MANDI013,Karnal,Cotton,5878.62,6574.283051769212,6226.45,6620.0,Cotton,-5.944864048338372,True,Aurangabad Market,Patiala,Punjab
PR004312,2026-01-24,MANDI001,Patiala,Cotton,,7324.58,,6620.0,Kapas,,False,Hyderabad Mandi,Ludhiana,Punjab
PR000288,2026-08-08,MANDI031,Hisar,Wheat,2270.14,2823.4429693584902,2546.79,2275.0,Kanak,11.946813186813184,False,Nangloi Jat Mandi,Sirsa,Haryana
PR002536,2026-01-06,MANDI036,Kurukshetra,Wheat,1961.63,2340.0,2151.0,2275.0,WHEAT,-5.450549450549451,True,Mysore Grain Market,Kurukshetra,Haryana
PR009427,2026-08-12,MANDI050,,Wheat,2277.53,2458.0,2367.64,2275.0,Gehun,4.072087912087906,False,Durg Market,Muzaffarnagar,Uttar Pradesh
PR003418,2026-02-09,MANDI011,Ambala,Sugarcane,3156.94,3890.02,,3500.0,गन्ना,,False,Arrah Mandi,Patiala,Punjab
PR001250,2026-02-10,MANDI002,Ambala,Maize,1866.0,2193.0,2029.0,2090.0,corn,-2.91866028708134,True,Solapur Mandi,Ludhiana,
PR008959,2026-06-24,MANDI057,,Mustard,,6850.0,6290.0,5650.0,सरसों,11.327433628318584,False,Gorakhpur APMC,Bareilly,
PR004344,2026-04-14,MANDI040,Amritsar,Rice,1989.0202736774609,2138.04,2063.53,2183.0,Dhaan,-5.47274393037104,True,Jodhpur Market,Fatehabad,Haryana
PR008040,2026-06-25,MANDI053,Ludhiana,Wheat,2016.0,2300.0,2158.4,2275.0,Kanak,-5.125274725274721,True,Panihati Market,Saharanpur,Uttar Pradesh
PR002773,2026-04-06,MANDI050,Ambala,Sugarcane,3391.89,4215.91,3804.0,3500.0,Ganna,8.685714285714285,False,Durg Market,Muzaffarnagar,Uttar Pradesh
PR007582,2026-01-24,MANDI043,Ferozepur,Rice,,2521.03,2303.861807881144,2183.0,Dhaan,5.536500590066154,False,Danapur Mandi,Agra,Uttar Pradesh
PR001390,2026-06-17,MANDI026,Patiala,Sugarcane,3661.39,4282.71,3972.05,3500.0,Sugarcane,13.487142857142862,False,Tadipatri Mandi,Hisar,Haryana
PR011220,2026-01-17,MANDI010,Bathinda,Cotton,6054.0,7147.5,6601.0,6620.0,Kapas,-0.2870090634441087,True,Dhule APMC,Jalandhar,Punjab
PR008656,2026-03-26,MANDI005,Patiala,Basmati,2172.99,2312.15,,,Basmati,,False,Bhilwara Grain Market,Amritsar,Punjab
PR000719,2026-04-29,,Kurukshetra,Maize,1878.0,2114.21,,2090.0,Makka,,False,,,
PR005849,2026-01-23,MANDI016,Patiala,Cotton,6473.0,7364.56,6918.61,6620.0,cotton,4.510725075528696,False,Kulti APMC,Bathinda,Punjab
PR007394,2026-03-25,MANDI024,Karnal,Sugarcane,3074.76,3382.79,3229.0,3500.0,sugarcane,-7.742857142857143,True,Jaipur Mandi,Karnal,Haryana
PR004644,2026-05-25,MANDI026,,Mustard,5725.0,6263.77,5994.455824860666,5650.0,mustard,6.096563271870201,False,Tadipatri Mandi,Hisar,Haryana
PR002514,2026-07-21,MANDI007,Hisar,Maize,1988.4744912268284,2299.86,2144.167343486675,2090.0,corn,2.591738922807406,False,Nashik Mandi,Amritsar,Punjab
PR010213,2026-02-17,MANDI043,Jalandhar,Wheat,1958.0,2157.0,2057.3,2275.0,wheat,-9.569230769230762,True,Danapur Mandi,Agra,Uttar Pradesh
PR011212,2026-05-31,MANDI008,,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0,sugarcane,4.933142857142854,False,Bijapur Market,Amritsar,Punjab
PR011958,2026-04-02,,Bathinda,Wheat,2215.53,2450.04,2332.79,2275.0,Kanak,2.5402197802197786,False,,,
PR002913,2026-08-08,MANDI027,Sirsa,Mustard,5826.290509325942,6273.0,6049.51,5650.0,Mustard,7.070973451327438,False,Kochi APMC,Hisar,Haryana
PR000358,2026-01-31,MANDI030,Ludhiana,Maize,1867.38,,1949.0,2090.0,Corn,-6.746411483253588,True,Patiala APMC,Sirsa,
PR008575,2026-07-20,,Moga,Sugarcane,3509.61,4356.0,3932.8,,Ganne,,False,,,
PR010458,2026-01-10,,Bathinda,Cotton,5627.0,6650.37,6138.929109845614,6620.0,Kapas,-7.266931875443894,True,,,
PR000951,2026-06-25,MANDI056,Hisar,Rice,2226.17,2525.0,2376.0,2183.0,Dhaan,8.841044434264774,False,Bilaspur Mandi,Bareilly,Uttar Pradesh
PR002105,2026-01-20,MANDI039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0,Kapas,-2.891842900302109,True,Anand Grain Market,,Haryana
PR007951,2026-01-02,MANDI024,Kurukshetra,Maize,2174.42,2348.9471523051525,2262.0,,Maize,,False,Jaipur Mandi,Karnal,Haryana
PR001266,2026-04-25,MANDI019,Fatehabad,Sugarcane,3500.0,4245.0,3873.0,3500.0,Ganna,10.657142857142857,False,Karimnagar Grain Market,Moga,Punjab
PR006089,2026-03-02,MANDI046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0,Mustard,-4.6405309734513205,True,Baranagar Market,,Uttar Pradesh
PR010862,2026-02-11,MANDI042,Ambala,Mustard,5493.827969524963,6761.44,6127.63,5650.0,mustard,8.453628318584073,False,Erode Mandi,Fatehabad,Haryana
PR011617,2026-03-18,MANDI053,Bathinda,Maize,2009.38,2235.4,2122.39,,Makka,,False,Panihati Market,Saharanpur,Uttar Pradesh
PR001291,2026-08-03,MANDI046,Jalandhar,Rice,1867.54,2189.09,2028.32,2183.0,धान,-7.085661933119564,True,Baranagar Market,,Uttar Pradesh
PR001377,2026-06-14,MANDI007,,Basmati,1970.8,2447.0,2209.0,,Basmati,,False,Nashik Mandi,Amritsar,Punjab
PR003954,2026-03-31,MANDI017,Kurukshetra,Rice,1971.7,2237.0,2104.0,2183.0,Dhaan,-3.618873110398534,True,Parbhani Market,,Punjab
PR003093,2026-05-20,MANDI008,Ludhiana,Rice,1975.0,2358.74,2166.76,2183.0,चावल,-0.7439303710490051,True,Bijapur Market,Amritsar,Punjab
PR000689,2026-04-02,MANDI054,,Wheat,2293.99,2786.0,2540.0,,GEHUN,,False,Nangloi Jat Grain Market,Saharanpur,
PR002359,2026-04-09,MANDI026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0,cotton,1.960574018126888,False,Tadipatri Mandi,Hisar,Haryana
PR004233,2026-01-29,MANDI049,,Rice,2082.58,,2270.31,2183.0,paddy,3.999541914796149,False,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh
PR009368,2026-04-05,MANDI014,Karnal,Cotton,6403.67,6871.07,6637.37,6620.0,Narma,0.2623867069486388,False,Bathinda Grain Market,Patiala,Punjab
PR005203,2026-03-29,MANDI024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0,गेहूं,-2.3868131868131948,True,Jaipur Mandi,Karnal,Haryana
PR006235,2026-05-20,MANDI006,Hisar,Cotton,,7062.16,6842.78,,Cotton,,False,Kochi Mandi,Amritsar,Punjab
PR011846,2026-09-05,MANDI031,Ambala,Wheat,2076.39,2414.63,2245.51,,गेहूं,,False,Nangloi Jat Mandi,Sirsa,Haryana
PR001340,2026-01-16,MANDI007,Jalandhar,Rice,1857.0,2122.46,1989.82,2183.0,Paddy,-8.84928996793404,True,Nashik Mandi,Amritsar,Punjab
PR008186,2026-01-25,,Moga,Rice,2005.68,2112.51,2059.1,,Rice,,False,,,
PR007070,2026-05-09,MANDI022,,Rice,2038.27,2509.7,2273.98,2183.0,Rice,4.167659184608338,False,Eluru APMC,Karnal,Haryana
PR004775,2026-02-23,,Jalandhar,Wheat,2097.0,2609.0,2353.0,2275.0,Gehun,3.428571428571429,False,,,
PR006448,2026-02-20,MANDI035,Ludhiana,Maize,1881.78,2319.1,2100.44,,corn,,False,Guntakal Mandi,Ambala,Haryana
PR003034,2026-01-29,MANDI055,Amritsar,Wheat,2375.39,2905.0,2640.12,2275.0,Wheat,16.049230769230764,False,Chandigarh APMC,Bareilly,Uttar Pradesh
PR002947,2026-05-13,,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0,Cotton,1.5995468277945668,False,,,
PR002729,2026-03-02,MANDI008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0,Mustard,5.000353982300893,False,Bijapur Market,Amritsar,Punjab
PR007737,2026-02-20,MANDI012,Amritsar,Wheat,1964.0,2203.07,2083.63,2275.0,गेहूं,-8.411868131868127,True,Gaya Grain Market,Patiala,Punjab
PR005676,2026-07-01,MANDI007,Fatehabad,Maize,1976.82,2419.0,2197.94,2090.0,Corn,5.164593301435409,False,Nashik Mandi,Amritsar,Punjab
PR007093,2026-01-31,MANDI051,,Basmati,2285.36,2595.15,,2183.0,Basmati,,False,Gulbarga Market,Saharanpur,Uttar Pradesh
PR008805,2026-03-11,MANDI046,Ludhiana,Mustard,4820.0,5699.0,5259.53,5650.0,सरसों,-6.910973451327439,True,Baranagar Market,,Uttar Pradesh
PR005981,2026-07-23,MANDI013,Kurukshetra,Wheat,2341.23,2517.0,2429.19,2275.0,wheat,6.77758241758242,False,Aurangabad Market,Patiala,Punjab
PR000060,2026-05-14,,Ferozepur,Mustard,5811.32,6329.19,6070.26,5650.0,mustard,7.438230088495579,False,,,
PR001371,2026-06-04,MANDI030,Ferozepur,Cotton,5660.0,6087.83,5874.0,6620.0,cotton,-11.268882175226585,True,Patiala APMC,Sirsa,
PR003239,2026-01-03,,Karnal,Rice,1872.0,2174.23,2023.3017368627488,2183.0,चावल,-7.3155411423385885,True,,,
PR002056,2026-08-22,MANDI009,Ferozepur,Basmati,1908.1409099896423,2009.0,1958.0,,Basmati,,False,Jamshedpur APMC,Jalandhar,Punjab
PR005252,2026-01-05,MANDI032,Jalandhar,Wheat,2151.86,2675.13,2413.49,,Gehun,,False,Chapra Grain Market,,Haryana
PR009259,2026-06-01,MANDI055,,Sugarcane,3152.0,3337.0,3244.6003698960367,3500.0,Ganne,-7.297132288684666,True,Chandigarh APMC,Bareilly,Uttar Pradesh
PR002760,2026-02-15,MANDI036,Karnal,Cotton,6302.29,7206.81,6754.55,6620.0,Narma,2.032477341389731,False,Mysore Grain Market,Kurukshetra,Haryana
PR004003,2026-08-25,MANDI029,Kurukshetra,Sugarcane,3083.37,3315.0,3199.0,3500.0,Ganna,-8.6,True,Asansol Grain Market,Sirsa,Haryana
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,6311.65,6815.97,6563.81,,Cotton,,False,Anand Grain Market,,Haryana
PR004575,2026-08-28,MANDI040,Ferozepur,Rice,2184.65,2619.32,2401.982891153114,2183.0,चावल,10.031282233308016,False,Jodhpur Market,Fatehabad,Haryana
PR001751,2026-07-19,MANDI047,Ludhiana,Mustard,5637.61,,6334.03,,सरसों,,False,Orai Market,Muzaffarnagar,Uttar Pradesh
PR001077,2026-07-22,,Kurukshetra,Mustard,5178.312104348875,,5757.03,5650.0,सरसों,1.894336283185836,False,,,
PR005404,2026-01-22,MANDI034,Sirsa,Maize,1786.3365949009074,1926.15,1856.24,2090.0,मक्का,-11.18468899521531,True,Ludhiana Grain Market,Ambala,Haryana
