trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,transit_hours_raw,transit_hours_clean,transit_time_source,distance_km
TRP006374,MANDI050,WH-Central,2026-04-30 20:08:22,2026-05-01 05:26:00,9.3,305.714532,miles,,DRV264,9.3,9.3,reported,491.99862492888
TRP008869,MANDI029,WH-West,2026-04-10 04:15:00,2026-04-10 09:51:00,,263.5,km,,DRV540,,5.6,computed,263.5
TRP000674,MANDI024,WH-South,2026-07-18 16:34:00,2026-07-18 22:46:00,6.2,276.5,km,UP-50-BC-6882,DRV722,6.2,6.2,reported,276.5
TRP000036,MANDI042,WH-Central,2026-08-13 06:21:00,2026-08-14 00:00:00,19.7,1070.7,km,RJ-52-CD-3274,DRV103,19.7,19.7,reported,1070.7
TRP008288,MANDI019,WH-South,2026-07-30 22:51:00,2026-07-31 15:57:00,17.1,728.9,km,DL-73-DF-1458,,17.1,17.1,reported,728.9
TRP003456,MANDI038,Export-Terminal,2026-07-25 20:53:00,,7.3,417.0,km,UP-97-BC-6135,DRV255,7.3,7.3,reported,417.0
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,2026-07-05 22:28:00,14.9,671.9,km,PB-99-BC-2796,DRV297,14.9,14.9,reported,671.9
TRP007075,MANDI023,WH-West,2026-06-19 00:00:00,2026-06-19 22:01:06,6.4,362.6,km,PB-48-DF-3590,,6.4,6.4,reported,362.6
TRP002222,MANDI033,WH-North,2026-05-02 10:12:36,2026-05-02 22:12:00,12.0,549.5,km,DL-55-BC-7556,DRV662,12.0,12.0,reported,549.5
TRP004565,MANDI054,WH-West,2026-09-05 10:36:00,2026-09-05 20:00:00,9.4,424.8,km,PB-83-DF-2210,DRV201,9.4,9.4,reported,424.8
TRP008152,MANDI019,WH-Central,2026-05-02 09:15:00,2026-05-02 18:45:00,9.5,553.3,km,PB-53-AB-4593,DRV920,9.5,9.5,reported,553.3
TRP000484,MANDI018,Export-Terminal,2026-08-02 03:53:48,2026-08-02 19:35:48,15.7,798.0,km,PB-65-AB-4841,,15.7,15.7,reported,798.0
TRP006460,MANDI011,WH-East,2026-07-13 10:12:45,2026-07-13 15:30:45,5.3,275.0,km,DL-48-CD-9566,DRV803,5.3,5.3,reported,275.0
TRP005643,MANDI009,WH-Central,2026-06-20 11:25:40,2026-06-21 00:31:00,13.1,716.3,km,HR-45-AB-2105,DRV326,13.1,13.1,reported,716.3
TRP005033,MANDI048,WH-East,2026-09-09 14:19:00,2026-09-10 00:00:00,13.5,716.4,km,,DRV415,13.5,13.5,reported,716.4
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,2026-06-27 03:45:28,,1000.8,km,HR-67-CD-5973,DRV626,,21.4,computed,1000.8
TRP003149,MANDI033,WH-North,2026-01-01 11:16:00,,7.7,,,PB-62-CD-5129,DRV342,7.7,7.7,reported,
TRP009930,MANDI048,WH-South,2026-02-09 05:25:00,,,486.0,km,UP-40-DF-1180,DRV783,,,invalid,486.0
TRP008787,MANDI022,WH-South,2026-05-20 20:31:00,2026-05-21 01:13:44,4.7 hrs,244.3,km,HR-57-BC-1128,DRV403,,4.712222222222223,computed,244.3
TRP005653,MANDI032,WH-South,2026-06-09 00:00:00,2026-06-10 00:00:00,17.2,608.7571687000001,miles,HR-49-CD-3613,DRV654,17.2,17.2,reported,979.697261875658
TRP008175,MANDI047,WH-North,2026-01-12 19:55:00,2026-01-13 19:07:03,23.2,630.0080569,miles,HR-39-AB-7971,DRV497,23.2,23.2,reported,1013.897166291446
TRP005795,MANDI020,WH-South,2026-06-21 11:39:44,,23.6,1390.6,km,,DRV947,23.6,23.6,reported,1390.6
TRP005283,MANDI039,WH-West,2026-07-08 22:27:00,2026-07-09 00:00:00,5.3 hrs,315.7,km,HR-39-CD-5921,DRV622,,1.55,computed,315.7
TRP004378,MANDI035,WH-East,2026-03-20 23:11:29,2026-03-21 05:11:29,6.0,207.60005110000003,miles,HR-74-CD-9527,DRV270,6.0,6.0,reported,334.09906623727403
TRP007392,MANDI025,WH-Central,2026-05-14 00:00:00,2026-05-15 03:54:19,,538.5,km,RJ-62-CD-6359,DRV958,,27.905277777777776,computed,538.5
TRP001559,MANDI041,WH-South,2026-05-27 20:11:00,2026-05-28 09:29:32,13.3,671.1,km,UP-60-CD-2446,DRV650,13.3,13.3,reported,671.1
TRP001433,MANDI029,WH-West,2026-06-21 01:20:44,2026-06-21 06:08:44,4.8,261.7,km,UP-39-BC-3131,DRV765,4.8,4.8,reported,261.7
TRP000040,MANDI006,WH-South,2026-01-24 07:05:00,2026-01-24 22:23:42,,877.8,km,UP-24-BC-3811,DRV670,,15.311666666666667,computed,877.8
TRP003996,MANDI008,WH-East,2026-08-20 20:06:00,2026-08-21 09:48:28,13.7 hrs,715.6,km,HR-93-DF-5165,,,13.707777777777778,computed,715.6
TRP007461,MANDI004,WH-West,2026-06-08 00:00:00,,21.1,995.7,km,PB-71-BC-6631,,21.1,21.1,reported,995.7
TRP005973,MANDI048,Export-Terminal,2026-06-19 13:25:00,2026-06-20 02:49:57,13.4,399.8522385,miles,DL-70-CD-1378,DRV423,13.4,13.4,reported,643.49820150759
TRP005174,MANDI054,WH-Central,2026-05-18 13:05:00,2026-05-19 03:29:00,,835.5,km,HR-75-AB-3097,DRV499,,14.4,computed,835.5
TRP000961,MANDI043,WH-North,2026-01-07 21:56:00,2026-01-08 18:02:05,20.1,723.3379811,miles,DL-61-BC-2591,DRV807,20.1,20.1,reported,1164.096746503474
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,2026-04-10 20:33:27,10.1,585.5,km,,DRV613,10.1,10.1,reported,585.5
TRP007465,MANDI044,Export-Terminal,2026-02-07 19:51:11,2026-02-08 13:39:00,17.8,519.0311963,miles,RJ-45-AB-4860,DRV224,17.8,17.8,reported,835.297665453442
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,km,DL-75-CD-5891,,2.3,2.3,reported,110.1
